Date,Depth_to_Groundwater_Podere_Casetta
23/11/2017,-8.2
24/11/2017,-8.2
25/11/2017,-8.2
26/11/2017,-8.2
27/11/2017,-8.2
28/11/2017,-8.2
29/11/2017,-8.2
30/11/2017,-8.2
01/12/2017,-8.3
02/12/2017,-8.3
03/12/2017,-8.3
04/12/2017,-8.3
05/12/2017,-8.3
06/12/2017,-8.3
07/12/2017,-8.3
08/12/2017,-8.3
09/12/2017,-8.3
10/12/2017,-8.3
11/12/2017,-8.2
12/12/2017,-8.3
13/12/2017,-8.3
14/12/2017,-8.3
15/12/2017,-8.3
16/12/2017,-8.3
17/12/2017,-8.3
18/12/2017,-8.3
19/12/2017,-8.3
20/12/2017,-8.3
21/12/2017,-8.3
22/12/2017,-8.3
23/12/2017,-8.3
24/12/2017,-8.3
25/12/2017,-8.3
26/12/2017,-8.3
27/12/2017,-8.2
28/12/2017,-8.2
29/12/2017,-8.3
30/12/2017,-8.3
31/12/2017,-8.3
01/01/2018,-8.3
02/01/2018,-8.3
03/01/2018,-8.3
04/01/2018,-8.3
05/01/2018,-8.3
06/01/2018,-8.3
07/01/2018,-8.3
08/01/2018,-8.3
09/01/2018,-8.3
10/01/2018,-8.3
11/01/2018,-8.3
12/01/2018,-8.3
13/01/2018,-8.3
14/01/2018,-8.3
15/01/2018,-8.3
16/01/2018,-8.3
17/01/2018,-8.3
18/01/2018,-8.3
19/01/2018,-8.3
20/01/2018,-8.3
21/01/2018,-8.3
22/01/2018,-8.3
23/01/2018,-8.3
24/01/2018,-8.4
25/01/2018,-8.4
26/01/2018,-8.4
27/01/2018,-8.4
28/01/2018,-8.4
29/01/2018,-8.4
30/01/2018,-8.4
31/01/2018,-8.4
01/02/2018,-8.4
02/02/2018,-8.3
03/02/2018,-8.3
04/02/2018,-8.3
05/02/2018,-8.3
06/02/2018,-8.3
07/02/2018,-8.3
08/02/2018,-8.3
09/02/2018,-8.3
10/02/2018,-8.3
11/02/2018,-8.3
12/02/2018,-8.2
13/02/2018,-8.3
14/02/2018,-8.3
15/02/2018,-8.3
16/02/2018,-8.3
17/02/2018,-8.3
18/02/2018,-8.3
19/02/2018,-8.2
20/02/2018,-8.2
21/02/2018,-8.2
24/02/2018,-8.2
25/02/2018,-8.2
26/02/2018,-8.2
27/02/2018,-8.2
04/03/2018,-8.2
05/03/2018,-8.2
06/03/2018,-8.1
07/03/2018,-8.1
08/03/2018,-8.1
09/03/2018,-8.1
10/03/2018,-8.1
11/03/2018,-8.1
12/03/2018,-8.0
13/03/2018,-8.0
14/03/2018,-8.0
15/03/2018,-8.0
16/03/2018,-7.9
17/03/2018,-7.9
18/03/2018,-7.9
19/03/2018,-7.9
20/03/2018,-7.9
21/03/2018,-7.9
22/03/2018,-7.9
23/03/2018,-7.9
24/03/2018,-7.8
25/03/2018,-7.8
26/03/2018,-7.8
27/03/2018,-7.8
28/03/2018,-7.8
29/03/2018,-7.8
30/03/2018,-7.8
31/03/2018,-7.8
01/04/2018,-7.8
02/04/2018,-7.7
03/04/2018,-7.7
04/04/2018,-7.7
05/04/2018,-7.7
06/04/2018,-7.7
07/04/2018,-7.7
08/04/2018,-7.7
09/04/2018,-7.7
10/04/2018,-7.7
11/04/2018,-7.7
12/04/2018,-7.7
13/04/2018,-7.7
14/04/2018,-7.7
15/04/2018,-7.7
16/04/2018,-7.7
17/04/2018,-7.7
18/04/2018,-7.7
19/04/2018,-7.7
20/04/2018,-7.7
21/04/2018,-7.7
22/04/2018,-7.7
23/04/2018,-7.7
24/04/2018,-7.7
25/04/2018,-7.6
26/04/2018,-7.6
27/04/2018,-7.6
28/04/2018,-7.6
29/04/2018,-7.6
30/04/2018,-7.6
01/05/2018,-7.6
02/05/2018,-7.6
03/05/2018,-7.6
04/05/2018,-7.6
05/05/2018,-7.6
06/05/2018,-7.6
07/05/2018,-7.6
08/05/2018,-7.5
09/05/2018,-7.5
10/05/2018,-7.5
11/05/2018,-7.5
12/05/2018,-7.5
13/05/2018,-7.5
14/05/2018,-7.5
15/05/2018,-7.5
16/05/2018,-7.5
17/05/2018,-7.5
18/05/2018,-7.5
19/05/2018,-7.5
20/05/2018,-7.4
21/05/2018,-7.4
22/05/2018,-7.4
23/05/2018,-7.4
24/05/2018,-7.3
25/05/2018,-7.3
26/05/2018,-7.3
27/05/2018,-7.3
28/05/2018,-7.3
29/05/2018,-7.3
30/05/2018,-7.3
31/05/2018,-7.3
01/06/2018,-7.3
02/06/2018,-7.3
03/06/2018,-7.3
04/06/2018,-7.3
05/06/2018,-7.3
06/06/2018,-7.3
07/06/2018,-7.3
08/06/2018,-7.3
09/06/2018,-7.3
10/06/2018,-7.3
11/06/2018,-7.3
12/06/2018,-7.3
13/06/2018,-7.3
14/06/2018,-7.3
15/06/2018,-7.3
16/06/2018,-7.3
17/06/2018,-7.3
18/06/2018,-7.3
19/06/2018,-7.3
20/06/2018,-7.3
21/06/2018,-7.3
22/06/2018,-7.3
23/06/2018,-7.3
24/06/2018,-7.3
25/06/2018,-7.3
26/06/2018,-7.3
27/06/2018,-7.3
28/06/2018,-7.3
29/06/2018,-7.3
30/06/2018,-7.3
01/07/2018,-7.3
02/07/2018,-7.3
03/07/2018,-7.4
04/07/2018,-7.4
05/07/2018,-7.4
06/07/2018,-7.4
07/07/2018,-7.4
08/07/2018,-7.4
09/07/2018,-7.4
10/07/2018,-7.4
11/07/2018,-7.4
12/07/2018,-7.4
13/07/2018,-7.4
14/07/2018,-7.4
15/07/2018,-7.4
16/07/2018,-7.4
17/07/2018,-7.4
18/07/2018,-7.4
19/07/2018,-7.4
20/07/2018,-7.4
21/07/2018,-7.4
22/07/2018,-7.4
23/07/2018,-7.4
24/07/2018,-7.4
25/07/2018,-7.4
26/07/2018,-7.4
27/07/2018,-7.4
28/07/2018,-7.4
29/07/2018,-7.4
30/07/2018,-7.4
31/07/2018,-7.4
01/08/2018,-7.4
02/08/2018,-7.4
03/08/2018,-7.4
04/08/2018,-7.4
05/08/2018,-7.4
06/08/2018,-7.4
07/08/2018,-7.4
12/09/2018,-7.5
13/09/2018,-7.5
14/09/2018,-7.5
15/09/2018,-7.5
16/09/2018,-7.5
17/09/2018,-7.5
18/09/2018,-7.5
19/09/2018,-7.5
20/09/2018,-7.5
21/09/2018,-7.5
22/09/2018,-7.5
23/09/2018,-7.5
24/09/2018,-7.5
25/09/2018,-7.5
26/09/2018,-7.6
27/09/2018,-7.6
28/09/2018,-7.6
29/09/2018,-7.6
30/09/2018,-7.6
01/10/2018,-7.6
02/10/2018,-7.6
03/10/2018,-7.6
04/10/2018,-7.6
05/10/2018,-7.6
06/10/2018,-7.6
07/10/2018,-7.6
08/10/2018,-7.6
09/10/2018,-7.6
10/10/2018,-7.6
11/10/2018,-7.6
12/10/2018,-7.6
13/10/2018,-7.6
14/10/2018,-7.6
15/10/2018,-7.6
16/10/2018,-7.6
17/10/2018,-7.6
18/10/2018,-7.6
19/10/2018,-7.6
20/10/2018,-7.7
21/10/2018,-7.7
22/10/2018,-7.7
23/10/2018,-7.7
24/10/2018,-7.6
25/10/2018,-7.6
26/10/2018,-7.6
27/10/2018,-7.6
28/10/2018,-7.6
29/10/2018,-7.6
30/10/2018,-7.6
31/10/2018,-7.6
01/11/2018,-7.6
02/11/2018,-7.6
03/11/2018,-7.6
04/11/2018,-7.6
05/11/2018,-7.6
06/11/2018,-7.6
07/11/2018,-7.6
08/11/2018,-7.6
09/11/2018,-7.6
10/11/2018,-7.6
11/11/2018,-7.6
12/11/2018,-7.6
13/11/2018,-7.6
14/11/2018,-7.6
15/11/2018,-7.7
16/11/2018,-7.7
17/11/2018,-7.6
18/11/2018,-7.6
19/11/2018,-7.6
20/11/2018,-7.6
21/11/2018,-7.6
22/11/2018,-7.7
23/11/2018,-7.7
24/11/2018,-7.7
25/11/2018,-7.6
26/11/2018,-7.6
27/11/2018,-7.6
28/11/2018,-7.7
29/11/2018,-7.7
30/11/2018,-7.7
01/12/2018,-7.7
02/12/2018,-7.6
03/12/2018,-7.6
04/12/2018,-7.6
05/12/2018,-7.7
06/12/2018,-7.7
07/12/2018,-7.7
08/12/2018,-7.6
09/12/2018,-7.6
10/12/2018,-7.6
11/12/2018,-7.7
12/12/2018,-7.6
13/12/2018,-7.7
14/12/2018,-7.6
15/12/2018,-7.7
16/12/2018,-7.7
17/12/2018,-7.6
18/12/2018,-7.6
19/12/2018,-7.6
20/12/2018,-7.6
21/12/2018,-7.7
22/12/2018,-7.6
23/12/2018,-7.6
24/12/2018,-7.6
25/12/2018,-7.6
26/12/2018,-7.6
27/12/2018,-7.6
28/12/2018,-7.6
29/12/2018,-7.6
30/12/2018,-7.6
31/12/2018,-7.6
